Projeto,Tipo de Serviço,Data Prog.,Status,Intervenção,PowerON,Equipamento,Horário Início,Horário Fim,Parceira,Região,Latitude,Longitude,Link Google Maps URL,Link My Maps URL
DMP/A.NOR.26.01952,Reforma de Rede Secundária,04/07/2026,Liberado para Execução,OLVR,,351ET142211,08:00,17:00,ZZOUT-Conecta Área 4 (Contrato Antigo),NOR,-23.41572544,-46.75157988,"https://www.google.com/maps/search/?api=1&query=-23.41572544,-46.75157988",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.06465,Reforma de Rede Secundária,04/07/2026,Liberado para Execução,OLVR,,351ET142211,08:00,17:00,ZZOUT-Conecta Área 4 (Contrato Antigo),NOR,-23.41572544,-46.75157988,"https://www.google.com/maps/search/?api=1&query=-23.41572544,-46.75157988",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.01933,Reforma de Rede Secundária,07/07/2026,Liberado para Execução,OLVR,,351ET142205,08:00,17:00,ZZOUT-Conecta Área 4 (Contrato Antigo),NOR,-23.41684673,-46.75332337,"https://www.google.com/maps/search/?api=1&query=-23.41684673,-46.75332337",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.01932,Reforma de Rede Secundária,07/07/2026,Liberado para Execução,OLVR,,351ET142205,08:00,17:00,ZZOUT-Conecta Área 4 (Contrato Antigo),NOR,-23.41684673,-46.75332337,"https://www.google.com/maps/search/?api=1&query=-23.41684673,-46.75332337",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.06460,Reforma de Rede Secundária,07/07/2026,Liberado para Execução,OLVR,,351ET142205,08:00,17:00,ZZOUT-Conecta Área 4 (Contrato Antigo),NOR,-23.41684673,-46.75332337,"https://www.google.com/maps/search/?api=1&query=-23.41684673,-46.75332337",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.ABC.26.00103,Remoção de Posto Primário,06/07/2026,Liberado para Execução,OLVR,,010ET026019,09:00,16:00,"Start Engenharia (Área 8B, 9  e 11) NEC",ABC,-23.64876057,-46.54746782,"https://www.google.com/maps/search/?api=1&query=-23.64876057,-46.54746782",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.01934,Reforma de Rede Secundária,08/07/2026,Liberado para Execução,OLVR,,351ET142010,08:00,17:00,ZZOUT-Conecta Área 4 (Contrato Antigo),NOR,-23.45337266,-46.79152701,"https://www.google.com/maps/search/?api=1&query=-23.45337266,-46.79152701",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.06463,Reforma de Rede Secundária,08/07/2026,Liberado para Execução,OLVR,,351ET142010,08:00,17:00,ZZOUT-Conecta Área 4 (Contrato Antigo),NOR,-23.45337266,-46.79152701,"https://www.google.com/maps/search/?api=1&query=-23.45337266,-46.79152701",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.25.00855,Religador Automático,09/07/2026,Liberado para Execução,BRA,16458200,356ET021577,09:00,16:00,"Alpitel Energy (Área 7, 8A e 10) NEC",LES,-23.61650319,-46.49688025,"https://www.google.com/maps/search/?api=1&query=-23.61650319,-46.49688025",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.25.01598,Ligação Provisória,04/07/2026,Liberado para Execução,BRA,16446360,257EP029088,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.56117369,-46.6164272,"https://www.google.com/maps/search/?api=1&query=-23.56117369,-46.6164272",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.02760,Religador Automático,10/07/2026,Liberado para Execução,BRA,16453540,356ET065376,09:00,16:00,"Alpitel Energy (Área 7, 8A e 10) NEC",LES,-23.56942678,-46.41583689,"https://www.google.com/maps/search/?api=1&query=-23.56942678,-46.41583689",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00586,Afastamento de Rede (Clientes),04/07/2026,Liberado para Execução,BRA,16457323,353CF019543,08:00,17:00,"Conecta Obras Extras (Área 8B, 9 e 11) NEC",LES,-23.52327136,-46.5444748,"https://www.google.com/maps/search/?api=1&query=-23.52327136,-46.5444748",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00588,Afastamento de Rede (Clientes),04/07/2026,Liberado para Execução,BRA,16457323,353CF019543,08:00,17:00,"Conecta Obras Extras (Área 8B, 9 e 11) NEC",LES,-23.52327136,-46.5444748,"https://www.google.com/maps/search/?api=1&query=-23.52327136,-46.5444748",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.02762,Religador Automático,09/07/2026,Liberado para Execução,BRA,16452418,356ET160632,09:00,16:00,"Alpitel Energy (Área 7, 8A e 10) NEC",LES,-23.56655254,-46.41802376,"https://www.google.com/maps/search/?api=1&query=-23.56655254,-46.41802376",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.02778,Religador Automático,08/07/2026,Liberado para Execução,BRA,16452271,356ET093237,09:00,16:00,"Alpitel Energy (Área 7, 8A e 10) NEC",LES,-23.59119517,-46.40849069,"https://www.google.com/maps/search/?api=1&query=-23.59119517,-46.40849069",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.06459,Reforma de Rede Secundária,07/07/2026,Liberado para Execução,OLVR,,351ET133341,09:00,17:00,ZZOUT-Conecta Área 4 (Contrato Antigo),NOR,-23.43466157,-46.81070389,"https://www.google.com/maps/search/?api=1&query=-23.43466157,-46.81070389",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.01930,Reforma de Rede Secundária,07/07/2026,Liberado para Execução,OLVR,,351ET133341,09:00,17:00,ZZOUT-Conecta Área 4 (Contrato Antigo),NOR,-23.43466157,-46.81070389,"https://www.google.com/maps/search/?api=1&query=-23.43466157,-46.81070389",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.01928,Reforma de Rede Secundária,07/07/2026,Liberado para Execução,OLVR,,351ET133341,09:00,17:00,ZZOUT-Conecta Área 4 (Contrato Antigo),NOR,-23.43466157,-46.81070389,"https://www.google.com/maps/search/?api=1&query=-23.43466157,-46.81070389",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.00098,Reforma de Rede Secundária,08/07/2026,Liberado para Execução,OLVR,,251ET047478,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.66755144,-46.63738731,"https://www.google.com/maps/search/?api=1&query=-23.66755144,-46.63738731",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.00097,Reforma de Rede Secundária,10/07/2026,Liberado para Execução,OLVR,,251ET069331,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.66162715,-46.64188903,"https://www.google.com/maps/search/?api=1&query=-23.66162715,-46.64188903",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.04918,Rede Compacta,12/07/2026,Liberado para Documentação,FI,,356ET160214,09:30,13:30,Engelmig (Área 11) NEC e UPS,LES,-23.58772356,-46.42080006,"https://www.google.com/maps/search/?api=1&query=-23.58772356,-46.42080006",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.24.00282,Afastamento de Rede (Clientes),04/07/2026,Liberado para Execução,PIE,16452776,251CF038821,10:00,14:00,Conecta Obras Extras (Área 4 e 5) NEC,NOR,-23.63128105,-46.66813495,"https://www.google.com/maps/search/?api=1&query=-23.63128105,-46.66813495",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.26.00630,Migração para Média Tensão,06/07/2026,Liberado para Execução,FI,16451864,251IP17J281,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.5975526,-46.67694882,"https://www.google.com/maps/search/?api=1&query=-23.5975526,-46.67694882",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
