Projeto;Tipo de Serviço;Região;Data Prog.;Status;Intervenção;OS;Equipamento;Início Prog.;Fim Prog.;Parceira;Latitude;Longitude;Link Google Maps
DMP/A.LES.26.01962;Rede Compacta;LES;26/06/2026;Liberado para Execução;FI;16300571;356BF041141;26/06/2026 10:00;26/06/2026 13:59;Engelmig (Área 11) NEC e UPS;-23.60035849;-46.44317107;https://www.google.com/maps/place/-23.60035849,-46.44317107
DAC/A.LES.26.00491;Ligação Nova;LES;26/06/2026;Liberado para Execução;FI;16322967;352ET006101;26/06/2026 10:00;26/06/2026 13:59;Start Engenharia (Área 8B, 9  e 11) NEC;-23.50593063;-46.47611133;https://www.google.com/maps/place/-23.50593063,-46.47611133
DAC/A.LES.21.00068;Regularização de Ligações Informais;LES;26/06/2026;Liberado para Execução;FI;16327618;025ET018506;26/06/2026 10:00;26/06/2026 13:59;Start Engenharia (Área 8B, 9  e 11) NEC;-23.7364833;-46.35607817;https://www.google.com/maps/place/-23.7364833,-46.35607817
DAC/A.NOR.26.00281;Remoção de Poste;NOR;26/06/2026;Liberado para Execução;FI;16333947;354ET017549;26/06/2026 10:00;26/06/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.51731743;-46.58373845;https://www.google.com/maps/place/-23.51731743,-46.58373845
DAC/A.NOR.26.00606;Alteração de Carga;NOR;26/06/2026;Liberado para Execução;FI;DEVOLVIDA;351ET004173;26/06/2026 10:00;26/06/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.49321442;-46.6870204;https://www.google.com/maps/place/-23.49321442,-46.6870204
DAC/A.LES.26.00138;Regularização de Ligações Informais;LES;26/06/2026;Liberado para Execução;FI;16327618;025ET018506;26/06/2026 10:00;26/06/2026 13:59;Start Engenharia (Área 8B, 9  e 11) NEC;-23.7364833;-46.35607817;https://www.google.com/maps/place/-23.7364833,-46.35607817
DAC/A.NOR.25.00534;Ligação Nova;NOR;26/06/2026;Liberado para Execução;FI;16333660;151ET023406;26/06/2026 10:00;26/06/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.55767458;-46.63199705;https://www.google.com/maps/place/-23.55767458,-46.63199705
DAC/A.NOR.25.01510;Afastamento de Rede (Clientes);NOR;26/06/2026;Liberado para Execução;FI;16333660;151ET023406;26/06/2026 10:00;26/06/2026 13:59;Conecta Obras Extras (Área 4 e 5) NEC;-23.55767458;-46.63199705;https://www.google.com/maps/place/-23.55767458,-46.63199705
DAC/A.NOR.23.00884;Afastamento de Rede (Clientes);NOR;26/06/2026;Liberado para Execução;FI;16333772;351ET024995;26/06/2026 10:00;26/06/2026 13:59;ZZOUT-Conecta Área 4 (Contrato Antigo);-23.49328116;-46.64849521;https://www.google.com/maps/place/-23.49328116,-46.64849521
DAC/A.LES.25.01260;Remoção de Poste;LES;26/06/2026;Liberado para Execução;PIE;16323407;010ET230313;26/06/2026 22:59;27/06/2026 03:00;Start Engenharia (Área 8B, 9  e 11) NEC;-23.66700933;-46.53321245;https://www.google.com/maps/place/-23.66700933,-46.53321245
DAC/A.NOR.24.01034;Ligação Nova;NOR;27/06/2026;Liberado para Documentação;BRA;16380738;257ET002551;27/06/2026 07:59;27/06/2026 16:59;Conecta Obras (Área 4 e 5) NEC;-23.60640564;-46.59932995;https://www.google.com/maps/place/-23.60640564,-46.59932995
DMP/A.LES.26.00687;Instalação de equipamentos de proteção;LES;27/06/2026;Liberado para Documentação;BRA;;352ET008375;27/06/2026 07:59;27/06/2026 18:00;Alpitel Energy (Área 7, 8A e 10) NEC;-23.51593255;-46.50943078;https://www.google.com/maps/place/-23.51593255,-46.50943078
DMP/A.LES.26.02577;Segurança Operativa;LES;27/06/2026;Liberado para Execução;OLVR;;356ET054228;27/06/2026 09:00;27/06/2026 16:00;Start Engenharia (Área 8B, 9  e 11) NEC;-23.59714971;-46.4570628;https://www.google.com/maps/place/-23.59714971,-46.4570628
DMP/A.LES.26.02574;Segurança Operativa;LES;27/06/2026;Liberado para Execução;OLVR;;356ET021161;27/06/2026 09:00;27/06/2026 16:00;Start Engenharia (Área 8B, 9  e 11) NEC;-23.59714971;-46.4570628;https://www.google.com/maps/place/-23.59714971,-46.4570628
DAC/A.NOR.25.01598;Ligação Provisória;NOR;27/06/2026;Liberado para Execução;PIE;16362544;257EP029088;27/06/2026 10:00;27/06/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.56117369;-46.6164272;https://www.google.com/maps/place/-23.56117369,-46.6164272
DAC/A.LES.22.00876;Remoção de Poste;LES;27/06/2026;Liberado para Execução;PIE;16363942;356ET034590;27/06/2026 10:00;27/06/2026 13:59;Start Engenharia (Área 8B, 9  e 11) NEC;-23.5944939;-46.44285937;https://www.google.com/maps/place/-23.5944939,-46.44285937
DAC/A.LES.22.00853;Remoção de Poste;LES;27/06/2026;Cancelado;PIE;RESOLVIDO;356ET044956;27/06/2026 10:00;27/06/2026 13:59;Start Engenharia (Área 8B, 9  e 11) NEC;-23.5944939;-46.44285937;https://www.google.com/maps/place/-23.5944939,-46.44285937
DAC/A.LES.22.00766;Remoção de Poste;LES;27/06/2026;Cancelado;PIE;RESOLVIDO;356ET044956;27/06/2026 10:00;27/06/2026 13:59;Start Engenharia (Área 8B, 9  e 11) NEC;-23.5944939;-46.44285937;https://www.google.com/maps/place/-23.5944939,-46.44285937
DAC/A.LES.26.00868;Ligação Nova;LES;27/06/2026;Liberado para Execução;PIE;16364007;355ET021670;27/06/2026 10:00;27/06/2026 15:00;Start Engenharia (Área 8B, 9  e 11) NEC;-23.54123811;-46.59026596;https://www.google.com/maps/place/-23.54123811,-46.59026596
DAC/A.NOR.26.00328;Remoção de Poste;NOR;27/06/2026;Liberado para Execução;FI;16328544;257ET096094;27/06/2026 10:00;27/06/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.58110301;-46.63928789;https://www.google.com/maps/place/-23.58110301,-46.63928789
DAC/A.NOR.24.00283;Afastamento de Rede (Clientes);NOR;27/06/2026;Liberado para Execução;PIE;RESOLVIDO;251CF038821;27/06/2026 10:00;27/06/2026 13:59;Conecta Obras Extras (Área 4 e 5) NEC;-23.63128105;-46.66813495;https://www.google.com/maps/place/-23.63128105,-46.66813495
DAC/A.NOR.24.00282;Afastamento de Rede (Clientes);NOR;27/06/2026;Liberado para Execução;PIE;16380719;251CF038821;27/06/2026 10:00;27/06/2026 13:59;Conecta Obras Extras (Área 4 e 5) NEC;-23.63128105;-46.66813495;https://www.google.com/maps/place/-23.63128105,-46.66813495
DAC/A.NOR.24.00234;Afastamento de Rede (Clientes);NOR;27/06/2026;Liberado para Execução;PIE;16380719;251CF038821;27/06/2026 10:00;27/06/2026 13:59;Conecta Obras Extras (Área 4 e 5) NEC;-23.63128105;-46.66813495;https://www.google.com/maps/place/-23.63128105,-46.66813495
DAC/A.NOR.24.00280;Afastamento de Rede (Clientes);NOR;27/06/2026;Liberado para Execução;PIE;16380719;251CF038821;27/06/2026 10:00;27/06/2026 13:59;Conecta Obras Extras (Área 4 e 5) NEC;-23.63128105;-46.66813495;https://www.google.com/maps/place/-23.63128105,-46.66813495
DAC/A.NOR.24.00281;Afastamento de Rede (Clientes);NOR;27/06/2026;Liberado para Execução;PIE;16380719;251CF038821;27/06/2026 10:00;27/06/2026 13:59;Conecta Obras Extras (Área 4 e 5) NEC;-23.63128105;-46.66813495;https://www.google.com/maps/place/-23.63128105,-46.66813495
DAC/A.NOR.25.00979;Ligação Provisória;NOR;27/06/2026;Liberado para Execução;PIE;16380719;251ET132431;27/06/2026 10:00;27/06/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.62664226;-46.66154939;https://www.google.com/maps/place/-23.62664226,-46.66154939
DAC/A.LES.26.00794;Ligação Nova;LES;28/06/2026;Liberado para Execução;BRA;16413772;355ET170462;28/06/2026 09:00;28/06/2026 16:00;Alpitel Energy (Área 7, 8A e 10) NEC;-23.55124074;-46.59994386;https://www.google.com/maps/place/-23.55124074,-46.59994386
DMP/A.LES.24.05716;Rede Compacta;LES;28/06/2026;Liberado para Execução;PIE;16364437;010ET076810;28/06/2026 09:29;28/06/2026 13:30;Engelmig (Área 11) NEC e UPS;-23.67077006;-46.51496591;https://www.google.com/maps/place/-23.67077006,-46.51496591
DAC/A.NOR.24.01517;Ligação Nova;NOR;29/06/2026;Liberado para Execução;BRA;16398367;251IP16J209;29/06/2026 07:59;29/06/2026 16:59;Conecta Obras (Área 4 e 5) NEC;-23.59383967;-46.68083457;https://www.google.com/maps/place/-23.59383967,-46.68083457
DAC/A.NOR.24.01518;Ligação Nova;NOR;29/06/2026;Liberado para Execução;BRA;16398367;251IP16J209;29/06/2026 07:59;29/06/2026 16:59;Conecta Obras (Área 4 e 5) NEC;-23.59383967;-46.68083457;https://www.google.com/maps/place/-23.59383967,-46.68083457
